Config,Cores,Total_Alg_Time,Int_Time,Norm_Time,Mover_Time,Denorm_Time,Voids
A,1,0.212863,0.167495,0.000347,0.044975,0.000047,3
A,2,0.133874,0.109220,0.000193,0.024410,0.000051,3
A,4,0.082747,0.068915,0.000119,0.013672,0.000040,3
A,6,0.061491,0.050163,0.000095,0.011185,0.000048,3
A,8,0.080022,0.067444,0.000110,0.012420,0.000048,3
A,10,0.069390,0.058600,0.000098,0.010647,0.000045,3
A,12,0.062245,0.052361,0.000132,0.009708,0.000044,3
A,14,0.082182,0.066052,0.000921,0.014783,0.000426,3
A,16,0.087595,0.070576,0.001160,0.015156,0.000703,3
B,1,1.180932,0.931559,0.000347,0.248976,0.000049,11
B,2,0.713827,0.581152,0.000185,0.132442,0.000048,11
B,4,0.477247,0.361644,0.000112,0.115447,0.000044,11
B,6,0.424479,0.305521,0.000204,0.118681,0.000073,11
B,8,0.481146,0.366732,0.000928,0.113436,0.000049,11
B,10,0.437387,0.321487,0.000728,0.115102,0.000069,11
B,12,0.398615,0.281273,0.000122,0.117139,0.000081,11
B,14,0.444210,0.314272,0.003369,0.125427,0.001142,11
B,16,0.436600,0.310473,0.003484,0.120910,0.001733,11
C,1,0.866234,0.674102,0.001337,0.190622,0.000173,1
C,2,0.554342,0.449715,0.000696,0.103766,0.000165,1
C,4,0.355309,0.274280,0.000372,0.080534,0.000123,1
C,6,0.304502,0.224128,0.000423,0.079829,0.000122,1
C,8,0.365290,0.281283,0.000344,0.083540,0.000123,1
C,10,0.325141,0.244296,0.000275,0.080436,0.000134,1
C,12,0.301638,0.216276,0.002373,0.082849,0.000141,1
C,14,0.328228,0.237297,0.004430,0.084476,0.002026,1
C,16,0.326621,0.236047,0.003921,0.085151,0.001502,1
D,1,4.800817,3.748391,0.001339,1.050917,0.000171,5
D,2,3.063027,2.493339,0.000739,0.568791,0.000158,5
D,4,1.982736,1.512186,0.000369,0.470061,0.000120,5
D,6,1.615659,1.140930,0.000293,0.474294,0.000142,5
D,8,1.943969,1.459432,0.001251,0.483144,0.000142,5
D,10,1.804430,1.323775,0.000891,0.479239,0.000525,5
D,12,1.651317,1.164182,0.000386,0.486604,0.000145,5
D,14,1.810281,1.310230,0.004075,0.494370,0.001607,5
D,16,1.765091,1.270508,0.004159,0.488963,0.001461,5
E,1,4.124549,3.224931,0.005287,0.893332,0.000999,0
E,2,2.090148,1.607430,0.002756,0.479099,0.000863,0
E,4,1.381556,1.007482,0.001430,0.372110,0.000533,0
E,6,1.134074,0.772824,0.001015,0.359765,0.000469,0
E,8,1.336807,0.966285,0.001798,0.368184,0.000540,0
E,10,1.244491,0.878302,0.001985,0.363699,0.000506,0
E,12,1.153104,0.777791,0.000710,0.374168,0.000435,0
E,14,1.268941,0.882823,0.004621,0.379410,0.002086,0
E,16,1.228818,0.846358,0.004276,0.376624,0.001560,0
